quarter,n_claims,avg_severity,total_paid,year,quarter_dt,deflator,avg_severity_real,total_paid_real
2020Q3,16657,29262.419324608272,487424118.69,2020,2020-07-01,1.2438176197836166,36397.112753444366,606266707.1341228
2020Q4,8732,26046.350207283554,227436730.01,2020,2020-10-01,1.2438176197836166,32396.90931887394,282889812.1724072
2021Q1,3401,23641.02112319906,80403112.84,2021,2021-01-01,1.1878228782287823,28081.34575482575,95504656.91216236
2021Q2,6817,46665.79684465307,318120737.09,2021,2021-04-01,1.1878228782287823,55430.70112285544,377871089.5545055
2021Q3,33809,43744.85547457777,1478969818.74,2021,2021-07-01,1.1878228782287823,51961.140137515074,1756754186.9092472
2021Q4,2670,30022.02688764045,80158811.79,2021,2021-10-01,1.1878228782287823,35660.850387938975,95214470.53579706
2022Q1,1302,18115.589247311826,23586497.2,2022,2022-01-01,1.0997608472839084,19922.815779670913,25939506.145131532
2022Q2,1814,24308.65355567806,44095897.55,2022,2022-04-01,1.0997608472839084,26733.705430723494,48494941.651332416
2022Q3,51776,97051.24601417646,5024925313.63,2022,2022-07-01,1.0997608472839084,106733.16054650975,5526216120.456088
2022Q4,5317,32340.612253150277,171955035.35,2022,2022-10-01,1.0997608472839084,35566.9391332049,189109415.37125042
2023Q1,2597,29707.03959183673,77149181.82,2023,2023-01-01,1.0564489661962586,31383.971265547236,81504173.37662618
2023Q2,5347,53297.04279409014,284979287.82,2023,2023-04-01,1.0564489661962586,56305.605761134284,301066074.004785
2023Q3,10600,50369.87328113207,533920656.78,2023,2023-07-01,1.0564489661962586,53213.200555288524,564059925.8860583
2023Q4,3140,26766.83117515924,84047849.89,2023,2023-10-01,1.0564489661962586,28277.791123346768,88792264.12730883
2024Q1,4562,30446.07043621219,138894973.33,2024,2024-01-01,1.0261396238444374,31241.91926495602,142525635.68672937
2024Q2,5828,45664.10713280714,266130416.37,2024,2024-04-01,1.0261396238444374,46857.74971645081,273086965.3474753
2024Q3,68721,103630.80388105528,7121612473.51,2024,2024-07-01,1.0261396238444374,106339.67411320272,7307768744.733405
2024Q4,22905,54425.62794717311,1246619008.13,2024,2024-10-01,1.0261396238444374,55848.29338920951,1279205160.079844
2025Q1,3945,51006.1914904943,201219425.43,2025,2025-01-01,1.0,51006.1914904943,201219425.43
2025Q2,4063,46012.03619985233,186946903.08,2025,2025-04-01,1.0,46012.03619985233,186946903.08
2025Q3,3221,46477.43014902204,149703802.51,2025,2025-07-01,1.0,46477.43014902204,149703802.51
2025Q4,1885,43168.90090185677,81373378.2,2025,2025-10-01,1.0,43168.90090185677,81373378.2
2026Q1,1083,26984.22572483841,29223916.46,2026,2026-01-01,0.9728014505893019,26250.29392815196,28429068.32418858
2026Q2,995,9762.02087437186,9713210.77,2026,2026-04-01,0.9728014505893019,9496.50806727199,9449025.52693563
